col1,col2,col3,col4,col5
GNC Calcium Citrate Plus™ with Magnesium & Vitamin D3,$11.99,45,0.26644444444444443,https://www.gnc.com/calcium/119713.html
GNC Calcium Plus®,$11.99,60,0.19983333333333334,https://www.gnc.com/calcium/738812.html
GNC Calcium Plus® 1000,$9.99,60,0.1665,https://www.gnc.com/calcium/066222.html
GNC Coral Calcium,$19.99,90,0.2221111111111111,https://www.gnc.com/calcium/553722.html
ChildLife® Liquid Calcium with Magnesium - Natural Orange Flavor,$19.99,32,0.6246875,https://www.gnc.com/calcium/541700.html
GNC Calcimate Plus® 800 with Magnesium & Vitamin D-3,$32.99,125,0.26392000000000004,https://www.gnc.com/vitamins_supplements/717642.html
GNC Calcium Citrate 1000 mg,$11.99,45,0.26644444444444443,https://www.gnc.com/buy-3-get-1-free/097312.html
GNC Calcimate Complete™,$24.99,60,0.4165,https://www.gnc.com/vitamins_supplements/121123.html
GNC Calcimate Plus® 800 with Magnesium & Vitamin D-3,$17.99,60,0.2998333333333333,https://www.gnc.com/vitamins_supplements/717632.html
GNC Calcium Plus® with Magnesium & Vitamin D-3,$12.99,60,0.2165,https://www.gnc.com/vitamins_supplements/143112.html
GNC Calcium 600 MG - Caramel,$13.99,60,0.23316666666666666,https://www.gnc.com/calcium/534863.html
GNC Coral Calcium,$19.99,90,0.2221111111111111,https://www.gnc.com/calcium/738712.html
GNC Calcium Citrate - Berries and Cream,$19.99,30,0.6663333333333333,https://www.gnc.com/calcium/534870.html
GNC Calcium Plus® with Magnesium,$14.99,90,0.16655555555555557,https://www.gnc.com/buy-3-get-1-free/094714.html
GNC Calcimate Complete™,$12.99,30,0.433,https://www.gnc.com/gnc-prime-deals/121113.html
GNC Calcimate® 1000 with Vitamin D-3,$14.99,30,0.49966666666666665,https://www.gnc.com/buy-3-get-1-free/120827.html
GNC Calcium with Vitamin D-3,$6.99,120,0.05825,https://www.gnc.com/perfectpairs/285323.html
GNC Bariatrics Calcium Citrate - Berries and Cream,$19.99,90,0.2221111111111111,https://www.gnc.com/calcium/534925.html
Beyond Raw® Chemistry Labs™ HMB,$29.99,30,0.9996666666666666,https://www.gnc.com/calcium/369846.html
Optimum Nutrition HMB 1000 Caps,$29.99,90,0.3332222222222222,https://www.gnc.com/calcium/350317.html
GNC Calcium Gummy - Fruit and Cream,$12.99,30,0.433,https://www.gnc.com/gnc-prime-deals/102993.html
Solgar® Calcium Magnesium plus Zinc,$19.99,83,0.2408433734939759,https://www.gnc.com/calcium/562722.html
GNC Milestones® kids Chewable Calcium,$9.99,30,0.333,https://www.gnc.com/calcium/584766.html
NutraBio® HMB,$29.99,90,0.3332222222222222,https://www.gnc.com/calcium/217899.html
Garden of Life® Organic Plant Calcium,$27.99,30,0.9329999999999999,https://www.gnc.com/calcium/444467.html
Solgar® Calcium Magnesium Citrate,$27.60,250,0.11040000000000001,https://www.gnc.com/calcium/808951.html
Physique Nutrition HMB,$28.99,180,0.16105555555555554,https://www.gnc.com/calcium/552125.html
Nature's Way® Alive!® Calcium - Bone Formula,$22.99,15,1.5326666666666666,https://www.gnc.com/expanded-assortment-shop-all/686584.html
Solgar® Calcium Magnesium with Vitamin D3,$29.99,60,0.4998333333333333,https://www.gnc.com/calcium/807200.html
Nature's Way® Calcium Mag & D Complex,$11.99,33,0.36333333333333334,https://www.gnc.com/calcium/448815.html
Carlson® Liquid Cal-600,$17.99,100,0.17989999999999998,https://www.gnc.com/expanded-assortment-shop-all/686401.html
Solgar® Calcium Citrate with Vitamin D3,$26.99,60,0.4498333333333333,https://www.gnc.com/calcium/562659.html
Carlson® Liquid Cal-600,$17.99,100,0.17989999999999998,https://www.gnc.com/expanded-assortment-shop-all/686399.html
Garden of Life® Grow Bone System™,$61.99,30,2.0663333333333336,https://www.gnc.com/calcium/730368.html
Solgar® Liquid Calcium Magnesium Citrate with Vitamin D3 - Natural Orange-Vanilla Flavor,$14.40,32,0.45,https://www.gnc.com/calcium/216792.html
Garden of Life® mykind organics Organic Plant Calcium,$65.99,60,1.0998333333333332,https://www.gnc.com/expanded-assortment-shop-all/230349.html
Natural Vitality® Natural Calm Plus Calcium - Raspberry-Lemon,$22.99,30,0.7663333333333333,https://www.gnc.com/stress-supplements/792369.html
Natural Vitality® Natural Calm Plus Calcium - Raspberry-Lemon,$22.99,30,0.7663333333333333,https://www.gnc.com/stress-supplements/792369.html
Carlson® Nutra Support Bone - Calcium & Magnesium with Vitamins D3 and K2,$42.99,60,0.7165,https://www.gnc.com/expanded-assortment-shop-all/686375.html
Carlson® Chewable Calcium Citrate 250 mg,$19.99,120,0.16658333333333333,https://www.gnc.com/expanded-assortment-shop-all/686396.html
Nature's Answer® Plant Based Cal-Mag,$22.99,30,0.7663333333333333,https://www.gnc.com/expanded-assortment-shop-all/792748.html
Solgar® Calcium Citrate with Vitamin D3,$14.20,30,0.47333333333333333,https://www.gnc.com/calcium/808947.html
Carlson® Kids Chewable Calcium- Great Vanilla Taste,$19.99,120,0.16658333333333333,https://www.gnc.com/expanded-assortment-shop-all/686398.html
Life Extension® Bone Strength Formula with KoAct,$44.99,30,1.4996666666666667,https://www.gnc.com/calcium/215928.html
Solgar® Calcium-Magnesium Citrate with Vitamin D3,$14.99,32,0.4684375,https://www.gnc.com/potassium-magnesium/163982.html
NutraBio® Calcium Citrate Malate,$18.99,90,0.211,https://www.gnc.com/calcium/217845.html
Life Extension® Bone Restore,$21.99,30,0.733,https://www.gnc.com/calcium/215929.html
Source Naturals® Calcium D-Glucarate,$68.99,60,1.1498333333333333,https://www.gnc.com/expanded-assortment-shop-all/166521.html
Natural Vitality® Natural Calm Plus Calcium,$22.99,30,0.7663333333333333,https://www.gnc.com/vitamins-stress-supplements/792368.html
NutraBio® Calcium Citrate Malate,$19.99,100,0.1999,https://www.gnc.com/calcium/217846.html
Carlson® Liquid Cal-600,$38.99,250,0.15596000000000002,https://www.gnc.com/expanded-assortment-shop-all/686400.html
Solgar® Calcium-Magnesium Citrate with Vitamin D3,$14.40,32,0.45,https://www.gnc.com/calcium/164012.html
Carlson® Kids Chewable Calcium,$10.99,60,0.18316666666666667,https://www.gnc.com/expanded-assortment-shop-all/686397.html
Pure Vegan Cal/Mag,$19.99,30,0.6663333333333333,https://www.gnc.com/calcium/217623.html
Solgar® Calcium Magnesium,$19.90,83,0.2397590361445783,https://www.gnc.com/calcium/806153.html
"Celebrate® Essential Multi 4 in 1 Multivitamin, Calcium and Protein Shake - Orange Cream",$34.99,14,2.4992857142857146,https://www.gnc.com/other-multivitamin-formulas/217574.html
Carlson® Cal-1000 with Vitamin D,$14.99,33,0.4542424242424242,https://www.gnc.com/expanded-assortment-shop-all/686402.html
Carlson® Cal-1000 with Vitamin D,$29.99,83,0.36132530120481926,https://www.gnc.com/expanded-assortment-shop-all/686403.html
Solgar® Calcium Magnesium plus Zinc,$11.00,100,0.11,https://www.gnc.com/calcium/562567.html
Solgar® Calcium Magnesium with Vitamin D3,$16.50,30,0.55,https://www.gnc.com/calcium/216784.html
